gene_symbol,Gfi1b
mouse_life_stage,Early adult
parameter_id,JAX_LDT_004_001
mouse_strain,C57BL
parameter_name,Dark side time spent
pvalue,0.8748635
analysis_id,581rfq3475aj3a6
gene_accession_id,MGI:1276578
