analysis_id,63p65p153145yvw
parameter_id,MGP_PBI_038_001
pvalue,0.4156561
mouse_strain,C57BL
parameter_name,Ly6Clow monocyte number
gene_accession_id,MGI:1888742
gene_symbol,Extl1
mouse_life_stage,Early adult
