parameter_name,Average duration
mouse_life_stage,Early adult
parameter_id,JAX_ROT_002_001
gene_accession_id,MGI:1913396
gene_symbol,Maco1
analysis_id,u7b1aji78b9c707
pvalue,0.9164736
mouse_strain,C57BL
