gene_symbol,Kif24
parameter_name,QT
analysis_id,72f8bq377gp085f
gene_accession_id,MGI:1918345
pvalue,0.8415739
parameter_id,IMPC_ECG_028_001
mouse_strain,C57BL
mouse_life_stage,Early adult
