parameter_name,Respiration Rate
parameter_id,IMPC_ECH_018_001
gene_symbol,Slc39a10
mouse_strain,C57BL
analysis_id,448ovp4700e18ic
pvalue,0.4876414
mouse_life_stage,Early adult
gene_accession_id,MGI:1914515
