gene_symbol,Amigo1
parameter_name,Ventral coat/hair presence
gene_accession_id,MGI:2653612
mouse_strain,C57BL
parameter_id,MGP_CSD_025_001
pvalue,0.8721585
mouse_life_stage,Early adult
analysis_id,0ooq4tpfagner75
