gene_symbol,Gja10
mouse_life_stage,Early adult
analysis_id,ag7y8wlz799y626
mouse_strain,C57BL
gene_accession_id,MGI:1339969
parameter_id,IMPC_IMM_005_002
pvalue,0.1252453
parameter_name,NK cells (Panel A) - % of live leukocytes (Panel A)
