analysis_id,3u7pe3u20t901rn
gene_accession_id,MGI:2446186
parameter_name,Forelimb and hindlimb grip strength measurement mean
mouse_strain,C57BL
gene_symbol,Lpgat1
mouse_life_stage,Middle aged adult
parameter_id,IMPC_GRS_009_001
pvalue,0.3572162
