gene_symbol,Secisbp2l
pvalue,0.9575075
parameter_id,MGP_PBI_015_001
parameter_name,IgD+ mature B cell percentage
mouse_strain,C57BL
analysis_id,74sm1mt4j2wojqa
mouse_life_stage,Early adult
gene_accession_id,MGI:1917604
