analysis_id,ztcdhw872z498kr
pvalue,0.1162729
mouse_life_stage,Early adult
mouse_strain,B6J
gene_symbol,Nr0b2
gene_accession_id,MGI:1346344
parameter_name,Total cholesterol
parameter_id,IMPC_CBC_015_001
