gene_symbol,Wars2
mouse_strain,C57BL
parameter_id,CCP_XRY_001_001
gene_accession_id,MGI:1917810
parameter_name,Skull shape
pvalue,0.9262458
mouse_life_stage,E9.5
analysis_id,0250dyug242r8ue
