parameter_name,Placenta Morphology
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_GPO_002_001
pvalue,0.7755953
analysis_id,64ibf31mj51u661
gene_symbol,Cd52
gene_accession_id,MGI:1346088
