parameter_id,MGP_PBI_016_001
analysis_id,cwd535fk223g8ap
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1929242
pvalue,0.6159842
gene_symbol,Ivd
parameter_name,Monocyte percentage
