parameter_name,Lumbar processes
gene_accession_id,MGI:109356
gene_symbol,Snap23
mouse_life_stage,Middle aged adult
parameter_id,IMPC_XRY_065_001
pvalue,0.6575232
analysis_id,19g557pq7onydsz
mouse_strain,C57BL
