parameter_name,Lower teeth appearance
pvalue,1.006538
parameter_id,IMPC_CSD_070_001
analysis_id,5tqz4ctd5v0u7t9
mouse_strain,C57BL
gene_accession_id,MGI:1916220
mouse_life_stage,Early adult
gene_symbol,Dcaf12
