analysis_id,7l4r72l457b1li4
parameter_id,IMPC_XRY_024_001
gene_symbol,Fgb
mouse_strain,C57BL
mouse_life_stage,E15.5
gene_accession_id,MGI:99501
parameter_name,Femur
pvalue,0.8901299
