parameter_name,Aggression
gene_accession_id,MGI:1915087
gene_symbol,Tiprl
mouse_life_stage,E12.5
parameter_id,IMPC_CSD_079_001
analysis_id,25a44w7670sh50m
pvalue,0.9568848
mouse_strain,C57BL
