analysis_id,81us56f83ent7f6
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,JAXLA_GRS_011_001
gene_accession_id,MGI:1922855
gene_symbol,Kdm5b
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
pvalue,0.2658301
