parameter_name,Neutrophil cell count
analysis_id,2eo7brs8u5q5788
pvalue,0.995125
gene_accession_id,MGI:1922745
gene_symbol,Morn5
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_030_001
