parameter_name,Fractional Shortening
gene_accession_id,MGI:1915087
mouse_life_stage,E12.5
pvalue,0.1048825
gene_symbol,Tiprl
parameter_id,IMPC_ECH_005_001
mouse_strain,C57BL
analysis_id,c5ebnv255891h73
