gene_symbol,Pglyrp3
pvalue,0.159487
parameter_name,Fat mass
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_DXA_002_001
analysis_id,ziup27e7s0l568e
gene_accession_id,MGI:2685266
