parameter_id,IMPC_GPP_004_001
mouse_life_stage,Early adult
pvalue,0.6708338
mouse_strain,C57BL
analysis_id,3ku094yhkp8r487
gene_accession_id,MGI:1933159
gene_symbol,Rnf114
parameter_name,Placenta Size
