analysis_id,yw8tj6i5yn5hbf0
pvalue,0.1042291
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_029_001
parameter_name,Activity (body position)
gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
