analysis_id,al84lmoivf9x11k
mouse_life_stage,Early adult
parameter_name,Cleft palate
gene_symbol,Slc2a8
gene_accession_id,MGI:1860103
mouse_strain,C57BL
parameter_id,IMPC_GEP_076_001
pvalue,0.2231454
