analysis_id,45wk4kr1d524mi7
mouse_life_stage,E9.5
parameter_id,IMPC_FEA_003_001
mouse_strain,C57BL
gene_symbol,Slc39a10
parameter_name,Conditioning Baseline % Freezing Time
pvalue,0.3128948
gene_accession_id,MGI:1914515
