parameter_name,cDCs CD11b Type
gene_symbol,Tiprl
parameter_id,IMPC_IMM_073_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1915087
mouse_strain,C57BL
analysis_id,59d00u9352q8786
pvalue,0.9179657
