gene_symbol,S100a3
parameter_id,IMPC_HEM_031_001
pvalue,0.8268394
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,5zuve0f48q567y6
parameter_name,Lymphocyte differential count
gene_accession_id,MGI:1338849
