analysis_id,59a065g10gfy096
pvalue,0.536818
parameter_id,IMPC_CSD_030_001
mouse_life_stage,Early adult
mouse_strain,129SV
gene_symbol,Cds2
gene_accession_id,MGI:1332236
parameter_name,Tremor
