gene_symbol,Psmd14
parameter_name,Periphery average speed
mouse_life_stage,Early adult
pvalue,0.898962
analysis_id,7294s9g34w8jx2p
mouse_strain,C57BL
parameter_id,JAX_OFD_013_001
gene_accession_id,MGI:1913284
