parameter_name,Distance travelled - total
mouse_life_stage,Early adult
gene_symbol,AU040320
parameter_id,JAXLA_OFD_020_001
analysis_id,z92cy17e334d1m5
gene_accession_id,MGI:2140475
mouse_strain,C57BL
pvalue,0.7161706
