parameter_name,ST
mouse_strain,C57BL
gene_accession_id,MGI:2444554
gene_symbol,Mapkap1
mouse_life_stage,Early adult
parameter_id,IMPC_ECG_008_001
pvalue,0.1896289
analysis_id,p44boxdu9m1088n
