analysis_id,87z127q6y81nd72
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.4119391
gene_symbol,Cpa3
gene_accession_id,MGI:88479
parameter_id,IMPC_XRY_018_001
parameter_name,Shape of vertebrae
