parameter_name,BMC/Body weight
gene_symbol,Secisbp2l
mouse_strain,C57BL
analysis_id,2q47990nnz8y720
mouse_life_stage,Early adult
parameter_id,HRWLLA_DXA_007_001
gene_accession_id,MGI:1917604
pvalue,0.1584707
