analysis_id,zs6a49kmdq317p5
parameter_id,HMGULA_CBC_009_001
mouse_life_stage,E18.5
pvalue,0.4793751
gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
parameter_name,Calcium
mouse_strain,C57BL
