analysis_id,7634936p511a4wg
pvalue,0.6603066
gene_accession_id,MGI:1914061
mouse_strain,C57BL
parameter_name,IgD+ mature B cell percentage
gene_symbol,Duoxa2
parameter_id,MGP_PBI_015_001
mouse_life_stage,Early adult
