gene_symbol,Dnajc5b
mouse_strain,C57BL
pvalue,0.9074647
parameter_id,IMPC_HEM_037_001
gene_accession_id,MGI:1913576
mouse_life_stage,Early adult
parameter_name,Basophil cell count
analysis_id,32cf1u461579rf6
