analysis_id,pk1p1533ux2uc36
gene_symbol,Gpbp1l1
pvalue,0.1844306
mouse_strain,C57BL
gene_accession_id,MGI:1924360
parameter_id,IMPC_XRY_002_001
mouse_life_stage,Early adult
parameter_name,Zygomatic bone
