gene_symbol,AU040320
parameter_name,BMC/Body weight
gene_accession_id,MGI:2140475
mouse_life_stage,Early adult
parameter_id,HRWLLA_DXA_007_001
pvalue,0.7729903
analysis_id,39rv4bc7go0977o
mouse_strain,C57BL
