parameter_id,JAXLA_OFD_017_001
analysis_id,b4b764gt0l44gy9
parameter_name,Center average speed
mouse_strain,C57BL
gene_accession_id,MGI:2140475
pvalue,7.04396e-06
mouse_life_stage,Late adult
gene_symbol,AU040320
