analysis_id,qanxf2d20tm133g
gene_accession_id,MGI:88461
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_IMM_121_001
pvalue,0.9251444
parameter_name,Macrophages - % of CD45+
gene_symbol,Col6a3
