analysis_id,o329hotm2cb1le8
mouse_strain,C57BL
parameter_name,Others
parameter_id,IMPC_IMM_006_001
gene_accession_id,MGI:109356
pvalue,0.4848118
gene_symbol,Snap23
mouse_life_stage,Early adult
