gene_symbol,Bpifa3
parameter_id,JAXLA_CSD_023_001
pvalue,0.8599628
analysis_id,t68e207h2079g8f
gene_accession_id,MGI:1920638
mouse_life_stage,Early adult
mouse_strain,129SV
parameter_name,Vibrissae - presence
