parameter_name,Lower teeth appearance
mouse_strain,129SV
gene_accession_id,MGI:1332236
analysis_id,b55r22r8r4j9c68
pvalue,0.4043593
gene_symbol,Cds2
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_070_001
