analysis_id,f6acwz6y5n7x1e7
parameter_name,Hindlimb digit - size
gene_accession_id,MGI:95835
parameter_id,IMPC_CSD_047_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.7292871
gene_symbol,Hspa5
