analysis_id,tmd2tx9vfpr8s62
parameter_name,Heart looping
mouse_strain,C57BL
pvalue,0.1458688
gene_symbol,Rufy4
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_057_001
gene_accession_id,MGI:3588214
