gene_symbol,Traf6
pvalue,0.6469672
analysis_id,5tb97cj838rzp75
parameter_id,IMPC_ECH_001_001
mouse_life_stage,Early adult
parameter_name,End-Systolic Diameter
gene_accession_id,MGI:108072
mouse_strain,C57BL
