parameter_id,JAXLA_DXA_007_001
mouse_strain,C57BL
gene_symbol,Frmpd1
mouse_life_stage,Middle aged adult
parameter_name,BMC/Body weight
pvalue,0.8717765
analysis_id,0m6y5rkk2pe6bev
gene_accession_id,MGI:2446274
