gene_symbol,Gfi1b
parameter_name,Snout size
analysis_id,gki7vifr2554i6i
pvalue,0.5888211
parameter_id,IMPC_CSD_028_001
gene_accession_id,MGI:1276578
mouse_life_stage,Early adult
mouse_strain,C57BL
