gene_symbol,Hnf4a
pvalue,0.1203137
analysis_id,07vvn2m7hnbb36u
gene_accession_id,MGI:109128
parameter_id,IMPC_XRY_021_001
mouse_life_stage,Early adult
parameter_name,Humerus
mouse_strain,C57BL
