analysis_id,j568851j5fuppz2
parameter_name,HDL-cholesterol
parameter_id,HMGULA_CBC_016_001
gene_accession_id,MGI:1922745
mouse_strain,C57BL
pvalue,0.7140375
gene_symbol,Morn5
mouse_life_stage,Early adult
