analysis_id,152hs94n67r3d6e
parameter_name,Periphery permanence time
gene_accession_id,MGI:891989
parameter_id,IMPC_OFD_012_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Npbwr1
pvalue,0.1436771
