analysis_id,054c885273y93m0
parameter_id,MGP_IMM_007_001
gene_accession_id,MGI:1921802
gene_symbol,Nipal3
mouse_life_stage,Early adult
pvalue,0.7865668
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
mouse_strain,129SV
