parameter_name,Mean-corpuscular-haemoglobin
mouse_life_stage,Early adult
pvalue,0.7757796
gene_symbol,Dnaaf9
analysis_id,01y974f354iod4o
mouse_strain,C57BL
gene_accession_id,MGI:1923029
parameter_id,M-G-P_016_001_006
