analysis_id,clf5338kh1xzw83
gene_accession_id,MGI:1915087
mouse_life_stage,E12.5
parameter_id,IMPC_IMM_034_001
gene_symbol,Tiprl
parameter_name,CD8 CD44-CD62L+ T cells
mouse_strain,C57BL
pvalue,0.5903923
