parameter_name,18kHz-evoked ABR Threshold
gene_symbol,Snrpb2
mouse_life_stage,Early adult
gene_accession_id,MGI:104805
analysis_id,c5w5h8q209b3nt3
mouse_strain,C57BL
parameter_id,IMPC_ABR_008_001
pvalue,0.5551816
