analysis_id,gu4gii2d20e0he9
mouse_strain,C57BL
pvalue,0.9891369
mouse_life_stage,Early adult
parameter_name,% Pre-pulse inhibition - PPI1
parameter_id,IMPC_ACS_033_001
gene_symbol,Snrpb2
gene_accession_id,MGI:104805
