analysis_id,9z195mma28x0182
mouse_strain,C57BL
parameter_id,IMPC_OFD_022_001
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:1345282
gene_symbol,Slc30a4
pvalue,0.9626846
parameter_name,Percentage center time
