analysis_id,1jtr21iz4l7h6nj
mouse_strain,C57BL
pvalue,0.1135158
gene_accession_id,MGI:2685277
mouse_life_stage,Early adult
parameter_id,ESLIM_007_001_015
parameter_name,Number of centre entries
gene_symbol,Zyg11b
