parameter_name,Phosphorus
gene_accession_id,MGI:1914071
analysis_id,dash70wvwh1i0a0
parameter_id,IMPC_CBC_010_001
pvalue,0.7776767
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Bcs1l
