gene_symbol,Cdin1
parameter_id,MGP_PBI_014_001
analysis_id,v31250431z63pvv
gene_accession_id,MGI:3026886
parameter_name,B cell percentage
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.9012576
