parameter_name,Mean-corpuscular-haemoglobin
mouse_life_stage,Late adult
analysis_id,1867t630o451nnw
pvalue,0.607873
mouse_strain,C57BL
gene_accession_id,MGI:1336200
parameter_id,M-G-P_016_001_006
gene_symbol,Hpca
