analysis_id,or992923c40a921
gene_symbol,Tnfsf8
mouse_life_stage,Early adult
parameter_name,Resting CD8+ T cells - % of CD8+
parameter_id,MGP_MLN_014_001
pvalue,0.9218947
gene_accession_id,MGI:88328
mouse_strain,C57BL
