analysis_id,4efe8t8n9j93d07
parameter_id,M-G-P_016_001_001
mouse_strain,C57BL
gene_accession_id,MGI:1918764
gene_symbol,Sfpq
pvalue,0.4854925
parameter_name,White blood cell-count
mouse_life_stage,Early adult
