analysis_id,3394y138de8phwn
mouse_strain,C56BL
gene_symbol,Ubxn11
gene_accession_id,MGI:1914836
parameter_id,IMPC_IMM_004_002
mouse_life_stage,Early adult
pvalue,0.6476237
parameter_name,NKT cells (panel A) - % of live leukocytes (Panel A)
